#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:hcv" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="4" id="bPopSizes.t:hcv" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="4" id="bGroupSizes.t:hcv" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:hcv" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:hcv" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.hcv" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:hcv" jeffreys="true" parameter="@bPopSizes.t:hcv" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="FrequenciesPrior.s:hcv" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:hcv" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:hcv" name="distribution">
#            <parameter id="kappa.s:hcv" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@hcv" id="treeLikelihood.hcv" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:hcv">
#            <siteModel id="SiteModel.s:hcv" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:hcv" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:hcv" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:hcv" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:hcv" kappa="@kappa.s:hcv" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:hcv" id="estimatedFreqs.s:hcv" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:hcv" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:hcv" name="clock.rate" spec="beast.core.parameter.RealParameter">7.9E-4</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
108000	-7259.133940513557	-6779.013925287615	-480.1200152259414	-6779.013925287615	261.85449861485534	7.353042203388612	-443.73474583305233	10067.735580663346	1155.0542768932337	624.0403187324741	220.84483833070146	10	3	16	33	0.18162099572571153	0.3250770422078969	0.20559651661449624	0.2877054454518952
111000	-7267.4412612593005	-6784.709980729224	-482.73128053007633	-6784.709980729224	246.13297714445613	7.353042203388612	-447.2663319512736	8614.1474444832	511.768804251145	544.8418768223474	123.21350141472658	10	17	10	25	0.18162099572571153	0.3253269809107761	0.20559651661449624	0.287455506749016
114000	-7267.416313654225	-6788.898669670775	-478.5176439834494	-6788.898669670775	239.18524691530212	7.768430305218428	-444.0404582136773	7873.203997533408	409.5941061806284	309.3024554860183	133.9573782142353	10	23	12	17	0.19399039270862362	0.3253269809107761	0.20559651661449624	0.27508610976610387
117000	-7275.855748403867	-6794.261628606806	-481.59411979706124	-6794.261628606806	256.24376358833047	8.707783476983291	-447.0136853922618	7356.273182634043	703.9977799239875	237.48551485310347	136.2854301304505	11	20	11	20	0.19204390932710375	0.3253269809107761	0.2060425549694924	0.2765865547926276
120000	-7254.75220629678	-6785.230543487609	-469.5216628091713	-6785.230543487609	244.38696786970448	8.707783476983291	-434.3284739606291	6360.189123723973	866.0824756401611	48.721986524010674	150.79433034468585	12	18	9	23	0.19204390932710375	0.33664232632578567	0.18181628243991002	0.2894974819072004
123000	-7258.335999061967	-6785.614687572673	-472.7213114892945	-6785.614687572673	221.42629961129282	7.409057297450607	-439.1717845161161	5935.769184504299	573.5965772612143	106.87121653842172	149.5131514921412	12	18	28	4	0.19478453652980582	0.33664232632578567	0.1941547701771228	0.27441836696728555
126000	-7268.789387696255	-6792.344295203233	-476.445092493022	-6792.344295203233	235.63390763527028	7.409057297450607	-442.76736702338303	6356.175451858884	748.3836536303224	149.47715358460346	112.75206570852116	7	22	31	2	0.19436022392070684	0.3173824491715737	0.22251778216813353	0.2657395447395858
129000	-7263.999342976909	-6793.727260784771	-470.2720821921383	-6793.727260784771	244.39853501371408	7.409057297450607	-437.21492292180704	7657.700393321866	411.54329361575356	136.3653829092898	52.27727342374724	8	23	28	3	0.19436022392070684	0.30221696185830665	0.20000023133144676	0.3034225828895396
132000	-7260.083519647963	-6781.529264796061	-478.55425485190165	-6781.529264796061	250.7023013780072	8.390806670389392	-444.5899036613694	9638.652870938007	555.6081786766985	171.0428190636875	19.507499199755344	9	27	24	2	0.18480469488409165	0.3317926635607105	0.18237517020120908	0.3010274713539886
135000	-7244.416834141002	-6778.344055138847	-466.07277900215547	-6778.344055138847	237.32984296404175	7.657581217017774	-432.6032166249471	5255.906382276192	604.9015203138888	70.87536996306827	135.802055442364	9	28	21	4	0.18480469488409165	0.3317926635607105	0.18237517020120908	0.3010274713539886
138000	-7265.076205875379	-6794.974065361253	-470.1021405141256	-6794.974065361253	236.6066113185272	7.496152882364875	-435.55502102022956	6255.197485235247	526.5544945347849	108.57691589062742	253.50979868960874	11	25	19	7	0.18480469488409165	0.3321051744759932	0.21510914758843325	0.26798098305148177
141000	-7265.782287590405	-6790.972936230811	-474.809351359594	-6790.972936230811	247.93909090226458	6.866105484453792	-438.49649169453335	7731.234659754219	577.6864987778936	120.00280101503695	436.13686429984	10	21	25	6	0.1894703629351418	0.35111374403691475	0.21510914758843325	0.24430674543951003
144000	-7259.5054406787	-6782.938820230843	-476.56662044785753	-6782.938820230843	245.97308791657224	6.92112175022108	-441.30497937137545	7961.217727516833	905.5354282543326	163.4126185628966	284.6319988914877	10	24	27	1	0.19771802130170987	0.35111374403691475	0.20686148922186517	0.24430674543951003
